Protein	NodeType	ReferencePathway	SigPeptide1	SigPeptide2	SigPeptide3	SigPeptide4	SigPeptide5	SigPeptide6	InsigPeptide1	InsigPeptide2	InsigPeptide3	InsigPeptide4	InsigPeptide5	InsigPeptide6	InsigPeptide7	InsigPeptide8	InsigPeptide9	InsigPeptide10	
CLASR_HUMAN	Excluded	false							0, -0.005464, -0.284631, -0.560673, -0.405305, -0.620737, -0.404569, -0.102807									
CLSPN_HUMAN	InsigPrize	false							0, -0.26353, 0.259071, -0.064166, -0.060896, -0.127038, 0.063557, 0.429578									
COF1_HUMAN	Excluded	false							0, -0.183565, -0.309955, -0.288324, -0.376921, -0.127229, -0.046152, 0.268944									
CP3A4_HUMAN	Steiner	false																
CPSF7_HUMAN	Excluded	false							0, -0.069535, -0.438284, -0.043652, -0.064716, 0.267256, 0.124844, 0.054185									
CRKL_HUMAN	SigPrize	true	0, 2.737519, 2.115401, 2.260556, 1.73076, 1.529056, 0.920081, 0.367678	0, 2.885539, 3.537585, 3.160899, 3.533997, 3.172212, 3.009808, 3.309442	0, 0.152612, 0.79249, 0.703988, 0.865239, 0.670947, 0.318352, 0.014212				0, 1.278887, 1.487463, 1.25163, 0.600685, 0.347938, 0.243, -0.167899									
CRK_HUMAN	SigPrize	true	0, 4.506128, 4.92367, 5.646644, 5.119009, 3.653781, 2.713198, 1.617325	0, 0.811854, 1.690164, 1.77863, 1.848095, 1.307429, 0.530662, -0.232256														
CRTC2_HUMAN	Excluded	false							0, -0.062364, -0.079612, -0.342585, 0.007465, 0.193646, 0.221978, -0.194221									
CSK21_HUMAN	Steiner	false																
CSKI2_HUMAN	Excluded	false							0, -0.533625, -0.431269, -0.450792, -0.54974, -0.29714, -0.320738, -0.292734									
CSPP1_HUMAN	Excluded	false							0, -0.064434, -0.851021, -0.572635, -0.898543, -0.890487, -0.109982, -0.232095									
CSTFT_HUMAN	Excluded	false							0, -0.299839, -0.448057, -0.225937, -0.420931, -0.367029, -0.222173, -0.436171									
CTF18_HUMAN	Excluded	false							0, -0.191838, 0.034639, -0.076398, 0.109933, -0.166836, 0.133828, 0.433279									
CTNB1_HUMAN	Excluded	false							0, -0.340978, -0.757948, -0.364082, -0.806069, -0.177068, -0.519109, -0.861294									
CTND1_HUMAN	Excluded	true	0, -0.495616, -0.179967, -0.462187, -0.213981, -0.065054, -0.167019, -0.179129															
CTR9_HUMAN	Excluded	false							0, -0.133707, 0.007918, -0.210595, -0.11608, -0.001993, -0.05639, 0.633738									
CUL4B_HUMAN	Excluded	false							0, 0.285543, -0.236998, 0.130837, 0.409942, 0.62318, 0.731473, 1.023995	0, -0.161558, -0.668772, -0.104763, -0.554187, -0.481645, -0.441943, -0.771064								
CX023_HUMAN	Excluded	false							0, -0.542282, -0.584766, -0.432146, -0.993044, -1.109109, -0.753411, -1.378126									
CXCL7_HUMAN	Steiner	false																
CYTSA_HUMAN	SigPrize	false	0, -0.032888, 0.435931, 0.629212, 1.085037, 0.921762, 0.899783, 0.764078															
CYTSB_HUMAN	Excluded	false	0, -0.279855, -0.296419, -0.469664, -0.281253, -0.137734, -0.09548, -0.075669															
DBNL_HUMAN	Excluded	false							0, -0.494113, -0.281969, -0.426648, -0.241986, -0.254865, -0.049615, -0.13641									
DC1L1_HUMAN	Excluded	false							0, -0.143877, 0.450827, -0.019335, -0.181026, 0.323017, -0.141456, 0.392922									
DC1L2_HUMAN	Excluded	false							0, 0.214815, 0.08398, 0.205079, 0.210614, -0.222361, 0.009417, 0.167081									
DCAF8_HUMAN	Excluded	false							0, -0.162143, -0.025155, -0.169589, -0.116778, 0.031115, -0.08535, -0.664416									
DDA1_HUMAN	Excluded	false							0, 0.205894, -0.203716, -0.032745, -0.673462, -0.778192, -0.466487, -1.108794									
DDX21_HUMAN	SigPrize	false	0, -0.237456, -0.688172, -0.454515, -0.383697, -0.399173, -0.393769, -0.281472	0, -0.207616, -1.012924, -0.620681, -0.55358, -0.452087, -0.622746, -0.162631	0, 0.168609, -0.779241, -0.243396, -0.258256, -0.393441, -0.220008, -0.456584	0, -0.344325, 0.653504, -0.355424, -0.401135, 0.029386, -0.0891, 0.118318												
DDX24_HUMAN	Excluded	false							0, 0.097417, -0.01141, 0.024588, 0.009647, 0.314951, 0.048501, 0.105602									
DDX3X_HUMAN	SigPrize	false	0, 1.264275, 1.860114, 1.291509, 0.736826, 0.243219, -0.053554, -0.21315	0, 1.818734, 1.731789, 1.356805, 0.885571, 0.136718, 0.034041, -0.287431														
DDX3Y_HUMAN	Excluded	false							0, 2.050582, 2.011482, 1.599151, 1.482184, 0.88848, 0.431908, 0.078737									
DDX41_HUMAN	Excluded	false							0, -0.707034, -0.071301, -0.381429, -0.30579, -0.304552, -0.225811, -0.47345									
DDX42_HUMAN	Excluded	false							0, -0.234048, -0.037115, -0.327259, -0.315007, -0.198416, 0.231568, 0.352305									
DDX46_HUMAN	Excluded	false	0, -0.167717, -0.392684, -0.210843, -0.333285, -0.31738, -0.220806, 0.045245															
DDX54_HUMAN	SigPrize	false	0, -0.178778, -0.403686, -0.323108, -0.476431, -0.461744, -0.667563, -0.240003						0, 0.018528, -0.636531, -0.124984, -0.720178, -0.45158, -0.579026, -0.785957									
DDX55_HUMAN	SigPrize	false	0, -0.187694, 0.021423, -0.35953, -0.322891, -0.265298, -0.225881, -0.103529															
DDX58_HUMAN	Steiner	false																
DEN4B_HUMAN	Excluded	false							0, -0.474767, -0.329443, 0.123938, -0.168653, 0.105231, 0.068164, -1.019469									
DENR_HUMAN	SigPrize	false	0, -0.255526, -1.147679, -0.503265, -0.503042, -0.733659, -0.728992, -0.510557															
